# NOTICE: the text column is dialogue from Star Wars: Knights of the Old
# Republic, which is the property of BioWare and Lucasfilm. It is recorded
# here as metadata so the tooling can locate and cut audio you already own.
# No audio ships with this repository and none ever should.
# resref	seconds	silences(start-end, -38dB >=0.20s)	text
nm35aahhkd07291_	8.47	0.53-1.07;2.92-3.29;4.55-5.03;6.08-6.42	Answer: Unfortunately so, master. While he lived, however, I maintained a most useful existence.
nm35aahhkd07292_	8.26	3.55-3.82;5.88-6.26	I was most proud to have partaken in the political system of the galaxy. During the time my owner possessed me, he gained significant rank.
nm35aahhkd07293_	8.69	3.12-3.59;6.97-7.46	Given time, I believe he could have become Chancellor. I even eliminated a few key opponents that he did not ask for... freebies, if you will.
nm35aahhkd07295_	10.1	0.57-0.99;2.39-2.60;7.04-7.30;7.30-7.50	Answer: Certainly. Why not? I am an intelligent droid, you know. I see an opportunity and I take it... and my master was most pleased with my work.
nm35aahhkd07296_	9.28	0.82-1.75;6.29-6.82;7.37-7.85	Observation: I think he would have done far better had he not allowed his use of me to become personal. He set me on his wife.
nm35aahhkd07298_	9.09	0.61-0.92	Answer: I am unsure. The human was most agitated and angry. I believe his wife had done something that had displeased him greatly.
nm35aahhkd07299_	6.53	3.13-3.36	I was to go to their summer estate and terminate his wife... along with whatever male companion I discovered there.
nm35aahhkd07301_	9.9	0.61-1.03;9.34-9.63	Statement: I have no idea, master. Cheating seems to be a relevant term only when one is caught in the act. Otherwise it is viewed as intelligence, no?
nm35aahhkd07303_	11.31	0.70-0.94;0.94-1.26;7.82-8.31;8.86-9.24	Observation: I *am* a droid, master, with programming. Even if I did not enjoy killing, I would have no choice. Thankfully I enjoy it very much.
nm35aahhkd07305_	8.55		I journeyed to the southern continent, but it appeared my master was not far behind me. Apparently he regretted his activation of the protocol.
nm35aahhkd07306_	8.45	2.17-2.52;7.02-7.39	When I found the wife and her companion, I proceeded to launch my attack... but my master interposed his own body and was destroyed.
nm35aahhkd07307_	6.42		It was rather a strange meatbag thing to do, do you not agree? Naturally I shut myself down, my master being terminated.
nm35aahhkd07309_	4.99	0.67-1.00;1.01-1.25;2.31-2.66	Observation: Only so far, master. There are still more memories not recovered, remember?
nm35aahhkd07311_	7.48	0.45-0.84;1.76-2.00	Answer: As previously, I have found a few more programs which will enhance my performance. A most gratifying discovery, in fact.
nm35aahhkd07312_	5.52	2.43-2.96	There is still nothing from previous memories uncovered. You will have to operate again if you desire to find them.
nm35aahhkd07313_	8.62	0.57-0.93;5.72-6.28	With luck, I will discover the stimulus to unlock my core and all this will be unnecessary. I do thank you for the attempt, however, master.
nm35aahhkd07315_	10.62	0.74-1.13;5.53-6.05;9.04-9.44	Statement: I believe the senator's wife was unsure what I was or what to do with me. It was she who sold me to the corporate officer, an acquaintance.
nm35aahhkd07317_	7.8	0.94-1.31	Observation: I find that unlikely. Perhaps he was more concerned that the death of his wife would be more likely traced back to him.
nm35aahhkd07319_	7.49	0.50-0.91	Answer: There are a *lot* of politicians on Coruscant, master. I could spend decades slaughtering them and still not make a dent.
nm35aahhkd07320_	9.45	6.34-6.82;8.06-8.41	And it is not as if I walked into the Senate chambers with a carbonite explosive. I was very discrete. My best work to date... that I can remember.
nm35aahhkd07322_	8.52	5.90-6.48	Access complete: I have accessed information on my owner prior to the senator, master. Most... unexpected.
nm35aahhkd07324_	8.78	8.54-8.78	Answer: It appears that previous to my ownership by the senator, I was the property of one Bochaba the Hutt on the planet Sleheyron.
nm35aahhkd07326_	10.56	0.73-1.06;8.08-8.88;9.26-9.83	Objection: That is unfair, master. While Bochaba may have died gruesomely, I most certainly had nothing to do with it. Well... very little.
nm35aahhkd07328_	5.81	0.72-1.05;2.45-2.71	Statement: So it appears, master. A rather suitable occupation, would you not agree?
nm35aahhkd07330_	7.95	0.57-0.82	Answer: It does not appear so. Or, at least, Bochaba was not my first owner. He purchased me from somewhere else.
nm35aahhkd07331_	9.87	0.62-0.83;7.06-7.61	Hmm. My memories tell me that, for a time, Bochaba was one of the most feared gangsters on Sleheyron. I helped him with this reputation greatly.
nm35aahhkd07332_	8.95	6.30-6.70	Over a span of one year, I terminated a grand total of 322 sentient meatbags. These contracts made Bochoba very wealthy.
nm35aahhkd07334_	8.7	4.66-4.88	It was unfortunate but inevitable that eventually Bochaba would overstep his bounds. I had just cleared two Hutt households when the Exchange retaliated.
nm35aahhkd07335_	9.01	0.62-1.22;4.37-4.83	Statement: I was not even present when my old master was assassinated. I did appreciate the artistry behind his demise upon my return, however.
nm35aahhkd07337_	8.69	0.57-0.89	Answer: Allow me to say that I have little doubt that residents of that sector were fishing pieces of Bochaba out of their soup for weeks afterward.
nm35aahhkd07339_	11.05	0.84-1.55;3.76-3.98;7.68-8.33	Observation: According to your own meatbag values, was my master not a heartless gangster and murderer? I will mourn you when you perish, master.
nm35aahhkd07341_	7.38	0.65-0.91;1.22-1.48;5.28-5.50	Amendment: *If* you perish. So far I am three out of three, remember, through little fault of my own.
nm35aahhkd07343_	8.12	0.98-1.20;1.66-1.88;7.36-7.56	Observation: Indeed. Perhaps it is better that my assassination function is inoperable, master, yes?
nm35aahhkd07345_	11.12	8.64-9.18;9.50-9.87;10.20-10.52	I am like a veritable fable, warning against the karma caused by murdering others. A morality tale, if you will. What utter irony.
nm35aahhkd07346_	8.22		At any rate, I quickly shut down upon my master's death. The rival Hutt claimed me along with my master's other possessions.
nm35aahhkd07347_	8.96	0.92-1.19;7.21-7.45	Observation: If that Hutt had only known my true function, he surely would not have sold me to a senator he bribed regularly.
nm35aahhkd07349_	9.3	0.77-1.01;3.21-3.60;7.23-7.53;7.92-8.23	Observation: It would have suited my character, master. I have enjoyed my existence since, more or less, so I do not miss it.
nm35aahhkd07351_	7.4	0.54-0.98;5.50-5.76	Answer: Negative, master. There is still more memory that can be restored, however, if you wish to try.
nm35aahhkd07352_	8.83	5.65-6.02;6.87-7.29	As well, I believe I can restore several programs the Hutt installed to improve my performance. Yesss... they are now active.
nm35aahhkd07353_	10.13	1.14-1.80	Contemplative: I wonder how many more dead masters I might have out there. A droid can live for a long time, you know.
nm35aahhkd07355_	10.38	0.98-1.35;7.04-7.50	Observation: No doubt, master. It would have been a glorious battle to end my existence with. I would prefer that to rusting on a junk heap.
nm35aahhkd07357_	9.63	0.97-1.39;6.82-7.21	Supplication: Please, master, have I not pleased you? I cannot control the acts I have performed... perhaps that is why memory is erased?
nm35aahhkd07358_	7.95	5.47-5.82;5.83-6.03;6.33-6.72	At any rate, I act only as you instruct me... even if that means being... *gulp* ...non-violent.
nm35aahhkd07360_	5.46	0.84-1.22;4.57-4.80	Affirmation: HK-47 exists only to serve, master.
nm35aahhkd07363_	10.96	0.69-1.22;2.31-2.72;5.66-5.98;7.81-8.48;9.55-9.94	Statement: Should I, master? I had no reason to terminate those targets, it was not my decision. I am the weapon, not the wielder.
nm35aahhkd07365_	9.4	0.62-0.89;4.02-4.70	Answer: That is correct, master. I do enjoy my work, though my past owners have enjoyed utilizing my functions far more.
nm35aahhkd07366_	7.29	1.12-1.37;3.86-4.26	Strictly speaking, one meatbag is the same as another. Anything I do is in support of my master.
nm35aahhkd07367_	9.47	4.95-5.26;7.81-8.03	Access complete: I have recovered the last of my deleted memory, master. Unfortunately, my history is still not complete.
nm35aahhkd07369_	10.54	0.66-0.99;6.53-6.98	Answer: As I did inform you, master, the majority of my memory is still locked within my core. That can only be accessed by the appropriate stimuli.
nm35aahhkd07370_	9.52	4.36-4.74;5.37-5.79	And I have no idea what that stimuli might be, unfortunately. Sadly, it seems my true origins will always be a mystery.
nm35aahhkd07372_	9.05	1.06-1.34	Observation: If it was, master, your restorations will certainly have ensured that the proper stimulus restores my core's functions.
nm35aahhkd07373_	9.62	6.55-6.91	Sadly, that could have already happened and we missed it, and my core was too damaged to activate. Oh, woe is me.
nm35aahhkd07375_	9.9	0.49-1.02;2.30-2.75;6.16-6.40	Query: Wouldn't you be, master? Here I am, surrounded by all these meatbags and all I desire is true perfection.
nm35aahhkd07376_	5.45	3.21-3.65	Surely there are more droids like me out there, or is that too much to hope?
nm35aahhkd07378_	7.37	0.81-1.06;5.40-5.65	Objection: Oh, fine. Laugh at me, master. Humiliate your pet droid, go ahead.
nm35aahhkd07380_	6.91	0.73-1.10;4.55-4.97	Correction: That would actually be my first owner, master. The first I can remember.
nm35aahhkd07381_	7.72	3.66-3.91;6.41-6.69	I had completed an assassination in Mandalorian space... though I have no knowledge of what my target was or who sent me.
nm35aahhkd07382_	11.71	0.81-1.06;6.31-6.71;9.64-10.06;10.64-10.97	Regardless, my motor function had been damaged and I could not return to wherever I had been sent from. A Mandalorian soldier claimed me as 'booty', I believe.
nm35aahhkd07383_	7.76	1.02-1.44;2.77-3.03	He repaired me... poorly, I might add... and proceeded to use my assassination protocol to raise his rank.
nm35aahhkd07385_	9.5	0.70-1.38;7.26-7.65	Query: Do you not have enemies that you would desire eliminated, master? If my protocol still worked, would you not use it?
nm35aahhkd07387_	3.21	0.88-1.43	Statement: If you say so, master.
nm35aahhkd07390_	9.75	0.75-1.24;1.77-2.21;4.58-4.86	Statement: See? I provide a function that is useful to others. They merely must learn to use it properly, I believe.
nm35aahhkd07392_	9.16	0.70-1.29;5.86-6.28	Answer: Such knowledge is locked within my core, master, as I said. There is no way to withdraw it otherwise.
nm35aahhkd07394_	9.02	0.88-1.55	Observation: *You* found me, master. Perhaps you are simply fortunate that my assassination protocol no longer functions?
nm35aahhkd07395_	10.57	7.34-8.02	At any rate, it seems that my Mandalorian owner finally decided to send me against Mandalore, himself. My poorest performance, sadly.
nm35aahhkd07397_	10.03	0.73-1.28;4.72-5.04;7.08-7.61	Answer: I was captured by this Mandalore during the attempt. He was able to reverse my programming and send me after my own master.
nm35aahhkd07398_	8.56	1.68-2.00;3.61-3.90	It was quite distressing. There was little I could do. Needless to say, I dispatched the Mandalorian soldier efficiently.
nm35aahhkd07399_	11.05	6.95-7.34;8.52-9.03	Once I deactivated, I believe I eventually ended up on the black market and was sold to the Hutt on Sleheyron. *sigh* My darkest day.
nm35aahhkd07401_	9.37	0.67-1.47;2.78-3.02;5.99-6.58	Statement: So I did. I am not very proud of that, master. The soldier seemed very startled, I must say.
nm35aahhkd07403_	7.17	0.64-1.22;4.73-4.97;5.26-5.49	Answer: There are a few Mandalorian implants that I can activate, now. They will improve my performance.
nm35aahhkd07404_	9.64	4.10-4.44;5.03-5.36;8.50-8.84	Beyond that, master, there is nothing more I can relate to you. With luck, we will discover the stimulus to unlock my core very soon.
nm35aahhkd07406_	7.23	0.78-1.38	Objection: That is so unfair, master! Have I not brought you a great deal of satisfaction?
nm35aahhkd07408_	5.51	0.73-1.48;3.96-4.61	Statement: You are a very harsh master, master. I like you.
nm35aahhkd07410_	8.62	0.73-1.14;5.19-5.42	Statement: With all due respect, master, he *is* the leader of the Mandalorians. Perhaps my old master was foolish to send me after him.
nm35aahhkd07411_	6.42	1.12-1.40;2.84-3.18;5.46-5.71	[Failure] ...no, no! What are you doing, master! That is my motor core! Stop! Ahhhh!
nm35aahhkd07412_	10.61	0.65-0.90;2.57-2.92;8.13-8.36;9.21-9.51	[Failure] ...err, you've shorted out something, master, but it has nothing to do with my memory. Ow! I am poking my own eye sockets! Ow! Stop!
nm35aahhkd07413_	11.16	0.73-1.21;2.63-3.24;3.92-4.22;5.19-5.39;7.59-8.04	[Failure] ...no, that is not it, master. No... that is not it, either. *sigh* That is a hinge, master.
nm35aahhkd07414_	8.05	0.42-0.73;1.54-1.91	[Failure] ...no, no, no. This is no good, master. You have nearly detonated my thermal core three times in a matter of minutes.
nm35aahhkd07415_	7.22	6.28-6.62	[Failure] ...aahhhh! What are you doing?! Remove the arc wrench, remove the arc wrench! Medic!
nm35aahhkd07416_	9.65		[Failure] ...but I *need* those circuits, master. Please, master... do not destroy my chips out of frustration. Calm yourself, I implore you.
nm35aahhkd07417_	9.84	1.66-2.29;2.95-3.26;3.26-3.76;6.98-7.41	[Failure] ...now close the last panel. Hmmm... I am afraid the operation did not succeed, master, though it was a valiant attempt for a meatbag.
nm35aahhkd07418_	9.36	1.02-1.67;5.28-5.53	Supplication: Perhaps it would be best if you desisted your efforts for the moment, meatb-- I mean master. This seems to be going nowhere.
nm35aahhkd07421_	8.98	0.66-0.96;2.06-2.51	[Repair] Statement: As you wish, master. You are already familiar with accessing my central control cluster, correct? Now you will need to...
nm35aahhkd07423_	6.11	4.87-5.13	As you desire, master. I cannot help but claim a small amount of relief. Signing off.
nm35aahhkd07425_	10.54	0.70-1.05;6.05-6.42;7.24-7.61	Statement: Certainly, master. Allow me to input the proper sequences into the ship computer. I caution you that the simulation will appear quite real.
nm35aahhkd07426_	3.32		Are you ready to begin the training sequence, master?
nm35aahhkd07428_	3.41	0.77-1.13	Statement: Simulation initiating.
nm35aahhkd07431_	3.08	1.79-2.08	As you desire, master. Signing off.
nm35aahhkd07432_	4.27	0.72-1.19	Statement: I have little knowledge of that to impart, master.
nm35aahhkd07433_	4.27	0.79-1.46	Statement: I cannot be of assistance on that, master.
