# NOTICE: the text column is dialogue from Star Wars: Knights of the Old
# Republic, which is the property of BioWare and Lucasfilm. It is recorded
# here as metadata so the tooling can locate and cut audio you already own.
# No audio ships with this repository and none ever should.
# resref	seconds	text  (291 HK-47 clips, durations measured)
nm35aahhkd07367_	9.47	Access complete: I have recovered the last of my deleted memory, master. Unfortunately, my history is still not complete.
nm35aahhkd07369_	10.54	Answer: As I did inform you, master, the majority of my memory is still locked within my core. That can only be accessed by the appropriate stimuli.
nm35aahhkd07370_	9.52	And I have no idea what that stimuli might be, unfortunately. Sadly, it seems my true origins will always be a mystery.
nm35aahhkd07372_	9.05	Observation: If it was, master, your restorations will certainly have ensured that the proper stimulus restores my core's functions.
nm35aahhkd07373_	9.62	Sadly, that could have already happened and we missed it, and my core was too damaged to activate. Oh, woe is me.
nm35aahhkd07375_	9.9	Query: Wouldn't you be, master? Here I am, surrounded by all these meatbags and all I desire is true perfection.
nm35aahhkd07376_	5.45	Surely there are more droids like me out there, or is that too much to hope?
nm35aahhkd07378_	7.37	Objection: Oh, fine. Laugh at me, master. Humiliate your pet droid, go ahead.
nm35aahhkd07380_	6.91	Correction: That would actually be my first owner, master. The first I can remember.
nm35aahhkd07381_	7.72	I had completed an assassination in Mandalorian space... though I have no knowledge of what my target was or who sent me.
nm35aahhkd07382_	11.71	Regardless, my motor function had been damaged and I could not return to wherever I had been sent from. A Mandalorian soldier claimed me as 'booty', I believe.
nm35aahhkd07383_	7.76	He repaired me... poorly, I might add... and proceeded to use my assassination protocol to raise his rank.
nm35aahhkd07385_	9.5	Query: Do you not have enemies that you would desire eliminated, master? If my protocol still worked, would you not use it?
nm35aahhkd07387_	3.21	Statement: If you say so, master.
nm35aahhkd07390_	9.75	Statement: See? I provide a function that is useful to others. They merely must learn to use it properly, I believe.
nm35aahhkd07392_	9.16	Answer: Such knowledge is locked within my core, master, as I said. There is no way to withdraw it otherwise.
nm35aahhkd07394_	9.02	Observation: *You* found me, master. Perhaps you are simply fortunate that my assassination protocol no longer functions?
nm35aahhkd07395_	10.57	At any rate, it seems that my Mandalorian owner finally decided to send me against Mandalore, himself. My poorest performance, sadly.
nm35aahhkd07397_	10.03	Answer: I was captured by this Mandalore during the attempt. He was able to reverse my programming and send me after my own master.
nm35aahhkd07398_	8.56	It was quite distressing. There was little I could do. Needless to say, I dispatched the Mandalorian soldier efficiently.
nm35aahhkd07399_	11.05	Once I deactivated, I believe I eventually ended up on the black market and was sold to the Hutt on Sleheyron. *sigh* My darkest day.
nm35aahhkd07401_	9.37	Statement: So I did. I am not very proud of that, master. The soldier seemed very startled, I must say.
nm35aahhkd07403_	7.17	Answer: There are a few Mandalorian implants that I can activate, now. They will improve my performance.
nm35aahhkd07404_	9.64	Beyond that, master, there is nothing more I can relate to you. With luck, we will discover the stimulus to unlock my core very soon.
nm35aahhkd07406_	7.23	Objection: That is so unfair, master! Have I not brought you a great deal of satisfaction?
nm35aahhkd07408_	5.51	Statement: You are a very harsh master, master. I like you.
nm35aahhkd07410_	8.62	Statement: With all due respect, master, he *is* the leader of the Mandalorians. Perhaps my old master was foolish to send me after him.
nm35aahhkd07411_	6.42	[Failure] ...no, no! What are you doing, master! That is my motor core! Stop! Ahhhh!
nm35aahhkd07412_	10.61	[Failure] ...err, you've shorted out something, master, but it has nothing to do with my memory. Ow! I am poking my own eye sockets! Ow! Stop!
nm35aahhkd07413_	11.16	[Failure] ...no, that is not it, master. No... that is not it, either. *sigh* That is a hinge, master.
nm35aahhkd07414_	8.05	[Failure] ...no, no, no. This is no good, master. You have nearly detonated my thermal core three times in a matter of minutes.
nm35aahhkd07415_	7.22	[Failure] ...aahhhh! What are you doing?! Remove the arc wrench, remove the arc wrench! Medic!
nm35aahhkd07416_	9.65	[Failure] ...but I *need* those circuits, master. Please, master... do not destroy my chips out of frustration. Calm yourself, I implore you.
nm35aahhkd07417_	9.84	[Failure] ...now close the last panel. Hmmm... I am afraid the operation did not succeed, master, though it was a valiant attempt for a meatbag.
nm35aahhkd07418_	9.36	Supplication: Perhaps it would be best if you desisted your efforts for the moment, meatb-- I mean master. This seems to be going nowhere.
nm35aahhkd07421_	8.98	[Repair] Statement: As you wish, master. You are already familiar with accessing my central control cluster, correct? Now you will need to...
nm35aahhkd07423_	6.11	As you desire, master. I cannot help but claim a small amount of relief. Signing off.
nm35aahhkd07425_	10.54	Statement: Certainly, master. Allow me to input the proper sequences into the ship computer. I caution you that the simulation will appear quite real.
nm35aahhkd07426_	3.32	Are you ready to begin the training sequence, master?
nm35aahhkd07428_	3.41	Statement: Simulation initiating.
nm35aahhkd07431_	3.08	As you desire, master. Signing off.
nm35aahhkd07432_	4.27	Statement: I have little knowledge of that to impart, master.
nm35aahhkd07433_	4.27	Statement: I cannot be of assistance on that, master.
